Surface,Substrate,Adsorbate,Substrate Mass,NN,mindistance,NN2,Adsorbate mass,cos(alpha),sin(alpha),Mr,Zfrequency,frequency_corrected,Energy,Surface_Energy,Eads
100,Ag,NH,107.868,4,2.288400145,1,15.01464,0.370375949,0.928881939,12.49980891,283.794016,311.0348187,-175.94327,-165.15468,-2.6472079
100,Al,NH,26.98154,2,1.845749286,2,15.01464,0.613239132,0.789897314,8.793292389,522.2863,682.4806441,-233.88283,-221.15238,-4.5890679
100,Au,NH,196.9665,2,2.026370399,2,15.01464,0.527430868,0.849597952,13.33076352,409.930833,435.0513641,-216.59458,-206.45846,-1.9947379
100,Cr,NH,51.996,4,2.045606754,1,15.01464,0.512560632,0.858651034,12.28319559,487.014028,538.4473565,-555.07277,-546.50606,-0.4253279
100,Cu,NH,63.546,4,2.009994732,1,15.01464,0.430213957,0.902726953,11.79436076,398.735238,449.8884834,-235.33838,-223.2886,-3.9083979
100,Ir,NH,192.22,2,1.922332234,2,15.01464,0.663272921,0.7483776,13.8447986,613.165022,638.5450069,-538.75684,-526.30636,-4.3090979
100,Mo,NH,95.94,2,1.990348885,2,15.01464,0.719224726,0.694777513,13.1316229,621.546289,664.6174479,-643.93276,-630.21417,-5.5772079
100,Ni,NH,58.6934,4,1.948005924,1,15.01464,0.441379601,0.897320482,11.724427,432.569332,489.5165443,-330.59219,-317.50829,-4.9425179
100,Pd,NH,106.42,4,2.126715994,1,15.01464,0.396352598,0.918098371,12.68881202,371.933828,404.5876856,-325.24556,-313.27311,-3.8310679
100,Pt,NH,195.08,2,1.920293582,2,15.01464,0.596406194,0.802682784,13.62644228,537.573479,564.2922117,-384.96157,-373.149,-3.6711879
100,Rh,NH,102.9055,4,2.12009854,1,15.01464,0.447547715,0.894260053,13.01288005,431.092259,463.0639511,-440.78686,-427.9503,-4.6951779
100,V,NH,50.9415,4,2.114746274,1,15.01464,0.317992682,0.948093168,11.88943767,399.201063,448.6095284,-541.63175,-526.72592,-6.7644479
100,W,NH,183.85,2,1.995147888,2,15.01464,0.710743793,0.703450965,13.94997803,652.839124,677.2934466,-762.8147,-748.07192,-6.6013979
110,Ag,NH,107.868,2,2.269108275,2,15.01464,0.175800613,0.984425794,13.15661113,257.732146,275.3303156,-163.83459,-153.48222,-2.2109879
110,Al,NH,26.98154,2,2.00046584,2,15.01464,0.636053543,0.771644925,8.897241555,354.071625,459.960879,-225.91394,-213.62586,-4.1466979
110,Au,NH,196.9665,2,2.042585956,2,15.01464,0.51089729,0.859641762,13.34561929,410.542199,435.4576256,-203.84399,-193.5769,-2.1257079
